artist_name,title,release,song_id,duration,key,key_confidence,loudness,mode,mode_confidence,tempo,time_signature,time_signature_confidence,year
Casual,I Didn't Mean To,Fear Itself,SOMZWCG12A8C13C480,218.93179,1,0.736,-11.197,0,0.636,92.198,4,0.778,
The Box Tops,Soul Deep,Dimensions,SOCIWDW12A8C13D406,148.03546,6,0.169,-9.843,0,0.43,121.274,4,0.384,1969.0
Sonora Santanera,Amor De Cabaret,Las Numero 1 De La Sonora Santanera,SOXVLOJ12AB0189215,177.47546,8,0.643,-9.689,1,0.565,100.07,1,0.0,
Adam Ant,Something Girls,Friend Or Foe,SONHOTT12A8C13493C,233.40363,0,0.751,-9.013,1,0.749,119.293,4,0.0,1982.0
Gob,Face the Ashes,Muertos Vivos,SOFSOCN12A8C143F5D,209.60608,2,0.092,-4.501,1,0.371,129.738,4,0.562,2007.0
Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),Ordinary Day,SOYMRWW12A6D4FAB14,267.7024,5,0.635,-9.323,1,0.557,147.782,3,0.454,
Rated R,Keepin It Real (Skit),Da Ghetto Psychic,SOMJBYD12A6D4F8557,114.78159,1,0.0,-17.302,1,0.0,111.787,1,0.0,
Tweeterfriendly Music,Drop of Rain,Gin & Phonic,SOHKNRJ12A6701D1F8,189.57016,4,0.0,-11.642,0,0.16,101.43,3,0.408,
Planet P Project,Pink World,Pink World,SOIAZJW12AB01853F1,269.81832,4,0.717,-13.496,1,0.652,86.643,4,0.487,1984.0
Clp,Insatiable (Instrumental Version),Superinstrumental,SOUDSGM12AC9618304,266.39628,7,0.053,-6.697,0,0.473,114.041,4,0.878,
JennyAnyKind,Young Boy Blues,I Need You,SOQHXMF12AB0182363,218.77506,5,0.354,-10.021,0,0.485,146.765,1,0.0,
Wayne Watson,The Urgency (LP Version),The Way Home,SOKEJEJ12A8C13E0D0,245.21098,7,0.07,-7.545,1,0.686,117.975,4,0.835,
Andy Andy,La Culpa,Placer & Castigo,SOMUYGI12AB0188633,226.35057,9,0.205,-6.632,1,0.305,130.04,4,0.0,
Bob Azzam,Auguri Cha Cha,Arrivederci,SORAMLE12AB017C8B0,191.84281,10,0.0,-7.75,0,0.198,137.334,1,0.319,
Lionel Richie,Tonight Will Be Alright,Dancing On The Ceiling,SOBONFF12A6D4F84D8,307.3824,3,0.524,-8.346,1,0.533,125.197,3,0.211,1986.0
Blue Rodeo,Floating,Outskirts,SOHUOAP12A8AE488E9,491.12771,7,1.0,-8.576,1,0.829,119.826,4,0.756,1987.0
Richard Souther,High Tide,Cross Currents,SOUQQEA12A8C134B1B,228.5971,8,0.041,-16.11,1,0.516,127.756,5,0.579,
Faiz Ali Faiz,Sohna Nee Sohna Data,Panjtan Ka Ghulam,SOILPQQ12AB017E82A,599.24853,6,0.06,-8.032,1,0.346,99.273,4,0.158,
Tesla,Caught In A Dream,Gold,SOXLBJT12A8C140925,290.29832,7,0.725,-5.271,1,0.756,150.062,4,0.931,2004.0
lextrical,Synthetic Dream,Whatever Happened To Boredom?,SOZVMJI12AB01808AF,165.69424,7,0.011,-6.787,1,0.568,138.331,4,0.127,
Jimmy Wakely,Broken-Down Merry-Go-Round,1942-1952 Jimmy Wakely,SOWTBJW12AC468AC6E,151.84934,1,0.799,-15.221,1,0.716,86.186,3,0.929,
Alice Stuart,Kassie Jones,All The Good Times,SOBEBDG12A58A76D60,220.78649,11,0.809,-8.514,1,0.521,110.382,1,0.192,
Elena,Setanta matins,Un cafe_ setanta matins,SOZCTXZ12AB0182364,269.58322,2,0.596,-8.05,1,0.666,111.874,4,1.0,
The Dillinger Escape Plan,Setting Fire to Sleeping Giants,Miss Machine,SOBBUGU12A8C13E95D,207.77751,7,0.381,-4.264,1,0.453,166.862,4,0.0,2004.0
SUE THOMPSON,James (Hold The Ladder Steady),Sue Thompson - Her Very Best,SOBLGCN12AB0183212,124.86485,10,0.697,-12.332,1,0.541,137.522,4,0.0,1985.0
Five Bolt Main,Made Like This (Live),Live,SOPSWQW12A6D4F8781,225.09669,7,0.53,-5.908,1,0.512,164.672,1,0.0,
Clp,Superconfidential,Strictly Confidential,SOZQDIU12A58A7BCF6,338.31138,6,0.687,-6.486,0,0.486,125.006,4,1.0,
Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),The Real Twang Thang,SONYPOM12A8C13B2D7,186.48771,5,0.762,-4.516,1,0.539,90.022,1,0.971,2005.0
